"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*052ru*","Josh Smith","TEX","1B,3B,SS","142","FA","27","@LAA Wed 8:38PM","284.5","2.99","77%","-3.7%"
"*01cgt*","Wilmer Flores","SF","1B","153","FA","33","PIT Wed 2:45PM","275","2.86","52%","-3.8%"
"*01cfr*","Carlos Santana","CLE","1B","171","FA","39","COL Wed 5:40PM","263.5","2.63","51%","-0.5%"
"*0648z*","Victor Scott","STL","OF","177","W <small>(Wed)</small>","24","MIA Wed 6:45PM","260.5","2.55","59%","-3.7%"
"*03pdw*","Andrew Benintendi","CHW","OF","198","FA","31","PHI Wed 1:10PM","249.5","3.28","35%","+0.2%"
"*026lz*","Josh Bell","WSH","1B","223","FA","32","@HOU Wed 1:10PM","236","2.54","34%","+0.9%"
"*01vja*","Max Kepler","PHI","OF","230","FA","32","@CHW Wed 1:10PM","232.5","2.47","26%","+0.5%"
"*04q05*","Alex Vesia","LAD","RP","232","FA","29","@CIN Wed 6:10PM","232","4.55","56%","-4.6%"
"*01c1g*","Andrew McCutchen","PIT","UT","233","FA","38","@SF Wed 2:45PM","232","2.47","21%","+0.4%"
"*041ai*","Gavin Lux","CIN","2B,OF","240","FA","27","LAD Wed 6:10PM","229.5","2.44","54%","+0.8%"
"*03qjv*","Harrison Bader","MIN","OF","244","FA","31","BOS Wed 12:10PM","227","2.39","28%","-1.5%"
"*031dw*","Mike Yastrzemski","SF","OF","249","FA","34","PIT Wed 2:45PM","223","2.32","37%","-1.4%"
"*03ql8*","Bailey Falter","PIT","SP","258","FA","28","@SF Wed 2:45PM","218.5","9.93","48%","-2.4%"
"*04emu*","Eric Wagaman","MIA","1B,3B,OF","264","FA","27","@STL Wed 6:45PM","217.5","2.27","18%","-3.5%"
"*04tji*","Edwin Uceta","TB","RP","267","FA","27","@NYY Wed 6:05PM","216.5","4.81","25%","+0.5%"
"*0516n*","Isaac Collins","MIL","OF,UT","272","FA","28","CHC Wed 1:10PM","213","2.45","25%","-3.2%"
"*0513c*","Joey Ortiz","MIL","3B,SS","275","FA","27","CHC Wed 1:10PM","211.5","2.03","40%","+0.6%"
"*05gx4*","Dillon Dingler","DET","C","280","FA","26","ARI Wed 12:10PM","210","2.59","37%","-3.2%"
"*0374m*","Tyler Rogers","SF","RP","284","FA","34","PIT Wed 2:45PM","208.5","3.93","45%","-4.3%"
"*0311f*","Victor Caratini","HOU","C,1B","288","FA","31","WSH Wed 1:10PM","206","2.68","27%","-6.4%"
"*03poq*","Tony Santillan","CIN","RP","292","FA","28","LAD Wed 6:10PM","205","3.87","34%","-3.2%"
"*02z0t*","Michael Conforto","LAD","OF","293","FA","32","@CIN Wed 6:10PM","204.5","2.2","31%","+3.3%"
"*03qmr*","Nathan Lukes","TOR","OF","295","FA","31","@BAL Wed 11:35AM","203","2.45","13%","-1.4%"
"*03pji*","KeBryan Hayes","PIT","3B","299","FA","28","@SF Wed 2:45PM","198.5","1.99","36%","+1.5%"
"*05jp3*","Logan Allen","CLE","SP","301","FA","26","COL Wed 5:40PM","197.5","9.4","44%","-5.3%"
"*03dpt*","Reed Garrett","NYM","RP","306","FA","32","@SD Wed 3:10PM","195","4.43","33%","-3.4%"
"*06bs4*","Daniel Schneemann","CLE","2B,3B,SS,OF","307","FA","28","COL Wed 5:40PM","195","2.24","16%","-2.5%"
"*04de0*","Ramon Urias","BAL","3B","313","FA","31","TOR Wed 11:35AM","192","2.49","9%","-1.2%"
"*04bpj*","Taylor Walls","TB","SS","314","FA","29","@NYY Wed 6:05PM","192","2.04","7%","-0.5%"
"*02bwg*","Kyle Hendricks","LAA","SP","315","FA","35","TEX Wed 8:38PM","191.5","9.58","20%","-2.3%"
"*02hir*","Michael Lorenzen","KC","SP","318","FA","33","ATL Wed 1:10PM","190","10.56","37%","-1.2%"
"*03avk*","Luis Rengifo","LAA","2B,3B","320","FA","28","TEX Wed 8:38PM","190","1.88","42%","+2.4%"
"*04y9f*","Ryan Zeferjahn","LAA","RP","322","FA","27","TEX Wed 8:38PM","189.5","4.31","6%","-1.3%"
"*02i11*","Jorge Soler","LAA","OF,UT","324","FA","33","TEX Wed 8:38PM","189","2.3","48%","+2.4%"
"*05ylp*","Jared Koenig","MIL","SP,RP","325","FA","31","CHC Wed 1:10PM","187","3.74","15%","-3.1%"
"*0414h*","Gabriel Arias","CLE","2B,3B,SS","326","FA","25","COL Wed 5:40PM","187","2.31","21%","-2%"
"*03aqw*","Mauricio Dubon","HOU","1B,2B,3B,SS,OF","327","FA","31","WSH Wed 1:10PM","187","2.23","16%","-2.1%"
"*03qwa*","Phil Maton","STL","RP","329","FA","32","MIA Wed 6:45PM","187","4.67","35%","-4.3%"
"*05143*","Hunter Gaddis","CLE","RP","330","FA","27","COL Wed 5:40PM","186.5","4.05","39%","-2.3%"
"*046yd*","Dennis Santana","PIT","RP","331","FA","29","@SF Wed 2:45PM","186.5","4.14","39%","-4%"
"*02mv0*","Andrew Heaney","PIT","SP","334","W <small>(Thu)</small>","34","@SF Wed 2:45PM","185","8.81","49%","-2%"
"*05135*","Jake Mangum","TB","OF","335","FA","29","@NYY Wed 6:05PM","185","2.64","35%","-5.6%"
"*05yb8*","Chad Patrick","MIL","SP","343","FA","26","CHC Wed 1:10PM","182","9.58","40%","-5.2%"
"*041am*","Lucas Erceg","KC","RP","344","FA","30","ATL Wed 1:10PM","181.5","4.12","67%","+0.7%"
"*031b2*","Jonah Heim","TEX","C","348","FA","30","@LAA Wed 8:38PM","180.5","2.1","38%","+2.3%"
"*0423e*","Anthony Bender","MIA","RP","351","FA","30","@STL Wed 6:45PM","179.5","3.99","31%","-3.5%"
"*060ml*","Huascar Brazoban","NYM","SP,RP","353","FA","35","@SD Wed 3:10PM","178.5","4.06","20%","-2.9%"
"*062ob*","Jose Ferrer","WSH","RP","356","FA","25","@HOU Wed 1:10PM","177","3.47","10%","-1.3%"
"*04pmw*","Alek Thomas","ARI","OF","358","FA","25","@DET Wed 12:10PM","176.5","1.9","17%","-1%"
"*0421q*","Greg Weissert","BOS","RP","359","FA","30","@MIN Wed 12:10PM","176.5","3.53","14%","-2.9%"
"*04mrn*","Bo Naylor","CLE","C","361","FA","25","COL Wed 5:40PM","176","2.17","30%","+1.6%"
"*026mq*","Tyler Anderson","LAA","SP","362","FA","35","TEX Wed 8:38PM","175","8.33","45%","-2.9%"
